R0_median_intensity,R0_variance,R0_glcm_homogeneity,R0_glrlm_lre,R0_glszm_zone_percentage,R0_dct_dc_energy,R0_permutation_entropy,R0_laplacian_variance,R0_compactness,R0_lyapunov_exponent,R1_median_intensity,R1_variance,R1_glcm_homogeneity,R1_glrlm_lre,R1_glszm_zone_percentage,R1_dct_dc_energy,R1_permutation_entropy,R1_laplacian_variance,R1_compactness,R1_lyapunov_exponent,R2_median_intensity,R2_variance,R2_glcm_homogeneity,R2_glrlm_lre,R2_glszm_zone_percentage,R2_dct_dc_energy,R2_permutation_entropy,R2_laplacian_variance,R2_compactness,R2_lyapunov_exponent,R3_median_intensity,R3_variance,R3_glcm_homogeneity,R3_glrlm_lre,R3_glszm_zone_percentage,R3_dct_dc_energy,R3_permutation_entropy,R3_laplacian_variance,R3_compactness,R3_lyapunov_exponent,R4_median_intensity,R4_variance,R4_glcm_homogeneity,R4_glrlm_lre,R4_glszm_zone_percentage,R4_dct_dc_energy,R4_permutation_entropy,R4_laplacian_variance,R4_compactness,R4_lyapunov_exponent,R5_median_intensity,R5_variance,R5_glcm_homogeneity,R5_glrlm_lre,R5_glszm_zone_percentage,R5_dct_dc_energy,R5_permutation_entropy,R5_laplacian_variance,R5_compactness,R5_lyapunov_exponent,R6_median_intensity,R6_variance,R6_glcm_homogeneity,R6_glrlm_lre,R6_glszm_zone_percentage,R6_dct_dc_energy,R6_permutation_entropy,R6_laplacian_variance,R6_compactness,R6_lyapunov_exponent,R7_median_intensity,R7_variance,R7_glcm_homogeneity,R7_glrlm_lre,R7_glszm_zone_percentage,R7_dct_dc_energy,R7_permutation_entropy,R7_laplacian_variance,R7_compactness,R7_lyapunov_exponent,R8_median_intensity,R8_variance,R8_glcm_homogeneity,R8_glrlm_lre,R8_glszm_zone_percentage,R8_dct_dc_energy,R8_permutation_entropy,R8_laplacian_variance,R8_compactness,R8_lyapunov_exponent,class,filename
133,246.521449396085,0.979166666666667,395,0.0612244897959184,750203.5,0.917941587062975,2867.54185755935,1.06901416684653,-7.14526475400543,136,285.675154320988,0.922535211267606,75,0.166666666666667,1872668,0.960352881788967,1448.03395061728,0.195670130673413,-4.60209399188484,133,202.711415816327,0.877844311377246,32.75,0.238095238095238,4679840.5,0.895594358600775,4250.69033446712,0.180997107614227,-4.74103467377878,138,189.711771694215,0.874031890660592,31.2190476190476,0.238636363636364,12764743,0.918296969605721,1793.16345041322,0.186898427201123,-4.74307335844027,134,248.846070631378,0.885075960679178,46.7489361702128,0.209821428571429,33659424,0.936821827265404,1050.77946109694,0.184760752574069,-4.77928574356688,134,317.182589946112,0.882004442503159,44.9713375796178,0.215659340659341,90076616,0.927043725607424,874.655912253955,0.185624498970325,-5.17705039078264,132,796.113011936256,0.871996731334957,43.6220472440945,0.235185185185185,230385584,0.934543568936617,1080.74488949078,0.185312883970061,-5.2401218889321,116,1402.08745555166,0.893097466140127,65.9164969450102,0.199188640973631,469776160,0.889903448542328,678.68506741439,0.185439012729705,-6.16251485002374,0,3624.10823500681,0.961925466391817,26645.4080540693,0.068978243978244,439250848,0.44744961862893,12854.4715693046,0.185393566166568,-13.3458180335432,0,10.png
198,75.246980424823,0.775,7.42105263157895,0.387755102040816,1933688.875,0.712676993286586,440.416493127863,1.06901416684653,-3.15289667727295,198.5,197.172839506173,0.704225352112676,6.18181818181818,0.458333333333333,4691556,0.797203478629885,550.925154320988,0.195670130673413,-3.36729668201369,186,467.320542800454,0.727051778795351,7.30555555555556,0.428571428571429,10461419,0.769606604140872,3229.10189909297,0.180997107614227,-3.81061859914868,165,1154.20268078512,0.758743132788423,10.508875739645,0.384090909090909,22220402,0.852409606137089,1780.89181818182,0.186898427201123,-4.76982722700937,157,986.797653061224,0.83032644693266,20.018691588785,0.286607142857143,48709364,0.901973927796012,1014.86427295918,0.184760752574069,-5.10126272167318,159,890.373720244385,0.84547254834603,24.9824561403509,0.274038461538462,119002192,0.901733930810955,786.556163487954,0.185624498970325,-5.32035007464919,156,2187.41367681126,0.815898965316956,22.5764705882353,0.314814814814815,269787744,0.892704321811023,1421.79017132779,0.185312883970061,-5.23084632219068,101,3630.78048208386,0.873033717841085,45.273530711445,0.229513184584179,457860352,0.875963469711789,1711.89663792075,0.185439012729705,-6.35029518604504,7,4818.47184501008,0.936045215601664,4662.78359600068,0.11462703962704,481722752,0.728791893563368,4656.54887199048,0.185393566166568,-10.9777375741261,0,101.jpg
201,861.118700541441,0.556838795809384,3.28125,0.653061224489796,1786422.75,0.669160526155418,7450.5156184923,1.06901416684653,-2.62265644928239,190.5,2048.88715277778,0.512477526280343,2.72,0.694444444444444,3849086.75,0.744381666919123,2758.66358024691,0.195670130673413,-2.01364357690779,180,1967.95238095238,0.677377323132871,6.57142857142857,0.458333333333333,8013893.5,0.817807289993131,1160.72661564626,0.180997107614227,-3.60255246494788,162,1489.17458161157,0.758900833857286,10.4698795180723,0.377272727272727,17994564,0.756713449606751,790.466115702479,0.186898427201123,-3.9358080428658,146,1026.2733729273,0.84396782841823,23.6860068259386,0.261607142857143,41409232,0.918426314279063,631.909948979592,0.184760752574069,-4.97280372096829,158,937.797373128246,0.818584678804534,19.2931216931217,0.324519230769231,111016128,0.879640313452313,1419.55373558447,0.185624498970325,-4.63901191070113,156,2215.76196759259,0.818242175049409,22.6544368600683,0.31005291005291,267540496,0.879953109365982,6432.36628621819,0.185312883970061,-5.34161787668945,88,3994.43924048237,0.880949443385076,46.3818267419962,0.215415821501014,425986048,0.831528148882399,1960.10035086546,0.185439012729705,-6.58581632036417,8,4401.57464552132,0.937862301104468,4331.12567356162,0.111752136752137,452230720,0.70933372900558,4705.95547943121,0.185393566166568,-11.2870598570945,0,104.jpg
166,79.4094127446897,0.760416666666667,5.375,0.489795918367347,1337987.875,0.657900100620466,443.43856726364,1.06901416684653,-2.37535632192019,157,85.1597222222222,0.802816901408451,8.27586206896552,0.402777777777778,3147398.25,0.836414557482321,3032.12885802469,0.195670130673413,-3.07894016141738,149,1085.07961309524,0.658666377651936,7.34177215189873,0.470238095238095,6179023.5,0.850714024398461,2586.44841269841,0.180997107614227,-3.34997410069224,139,1521.36402892562,0.784239169647183,14.5774647887324,0.322727272727273,12542093,0.846239395385774,738.31402892562,0.186898427201123,-4.42783344391866,138,1639.87620455995,0.832273712213785,25.4353741496599,0.2625,28326402,0.866914605214318,667.654818239796,0.184760752574069,-5.3423647696283,131,2210.13085678058,0.851124792344506,39.4471086036671,0.243475274725275,70340296,0.883526389119728,846.845412314334,0.185624498970325,-5.81628547101793,113,2257.37239815165,0.87814361381323,55.2865203761755,0.210978835978836,156622288,0.881402337142905,549.640664035161,0.185312883970061,-6.19025589240596,111,3741.26481379269,0.885850242070518,53.4255900621118,0.204107505070994,354578976,0.852433690088687,828.253040498007,0.185439012729705,-6.73202931877753,9,4333.47139500581,0.936794212441117,829.675749785776,0.113344988344988,456003840,0.70920034735976,6779.61992682639,0.185393566166568,-10.6874743477067,0,107.jpg
130,14.0916284881299,0.822916666666667,10.1666666666667,0.36734693877551,826800.375,0.89534730415584,311.263640149938,1.06901416684653,-3.37234890434208,129.5,26.9025848765432,0.838028169014085,12.9166666666667,0.333333333333333,2062618.375,0.891124245581539,165.27700617284,0.195670130673413,-3.66354405344821,131,43.7397604875283,0.901197604790419,34.0588235294118,0.202380952380952,4917175,0.831431275159115,295.419501133787,0.180997107614227,-4.32407044317865,134.5,247.262474173554,0.799584617446067,28.0588235294118,0.309090909090909,13083493,0.927924248904796,4295.48355371901,0.186898427201123,-4.98657762674155,136,1104.55423389668,0.852941766630459,40.5328185328185,0.23125,38710108,0.885158895240707,475.856683673469,0.184760752574069,-5.05075286842629,140,1049.49820360143,0.796638156130548,18.8088088088088,0.343063186813187,104762640,0.86275209164461,1660.72565020831,0.185624498970325,-4.57175426943423,146,1187.35521933876,0.87677071502881,44.0023894862605,0.221428571428571,264488416,0.914300440776014,1667.13209029702,0.185312883970061,-5.70209191107446,108,4083.99861793301,0.868525575491798,42.7966175195143,0.233874239350913,465305920,0.809342622358682,1411.34559194854,0.185439012729705,-6.63894551656451,21,5009.9567503965,0.933058755007262,920.670926517572,0.121600621600622,565606592,0.754786021300797,5652.17900887423,0.185393566166568,-10.5686677150748,0,11.jpg
160,1013.70512286547,0.791977752639517,23,0.306122448979592,1471022.25,0.856286528721407,65905.885880883,1.06901416684653,-6.13592783698611,149.5,1054.66666666667,0.664721039948877,9.51515151515152,0.458333333333333,3285320.5,0.948509249944186,98977.7955246914,0.195670130673413,-5.15106816071186,148.5,882.297477324263,0.707099436933886,7.89333333333333,0.446428571428571,7521788.5,0.924531876768567,36655.5678854875,0.180997107614227,-6.02441088419589,148,516.18631714876,0.794396973788639,16.5866666666667,0.340909090909091,17794964,0.954882449873776,21848.510661157,0.186898427201123,-5.03975667297553,143,563.119639668367,0.81316695852258,18.260162601626,0.329464285714286,42340452,0.968150931514553,6736.42331313776,0.184760752574069,-5.17947876865555,136,518.787465164043,0.865955783259317,29.1277173913043,0.252747252747253,97133304,0.96045510731066,4957.32882454942,0.185624498970325,-5.12207644355865,149,907.950409405532,0.838266928024832,29.3557649170031,0.29484126984127,251316464,0.926476509320569,2813.43537302987,0.185312883970061,-5.05992022988186,103,2304.00190783546,0.878934718250636,49.4641214351426,0.220486815415822,468168896,0.925578720445347,1317.72362029879,0.185439012729705,-5.874181997072,28,5355.48141201893,0.916989450615154,279.212904982303,0.142696192696193,616546816,0.803912594232185,13754.8713879516,0.185393566166568,-9.31433144202113,0,110.jpg
184,7.26947105372761,1,2401,0.0204081632653061,1649389.625,0.95097294331481,643.168679716785,1.06901416684653,-6.5594145847808,181,13.0692515432099,0.95774647887324,256.571428571429,0.0972222222222222,4007640,0.905402343087617,377.721450617284,0.195670130673413,-5.0377076504455,181,16.2885487528345,0.952095808383234,338.705882352941,0.101190476190476,9495459,0.972238640286351,356.887613378685,0.180997107614227,-4.64163968166485,180.5,43.4975,0.917084282460137,79.6944444444444,0.163636363636364,23743240,0.964514477724788,266.985123966942,0.186898427201123,-5.3887223424228,172,215.880242346939,0.899085317773222,73.6650246305419,0.18125,57361608,0.978975660814649,716.054081632653,0.184760752574069,-5.58062250306702,165,277.911347795405,0.891578674119543,63.1599297012302,0.195398351648352,138517552,0.970434100360706,802.226696938021,0.185624498970325,-5.55766698593211,155,326.872622826909,0.885926638049156,62.704418170504,0.212566137566138,325401632,0.968812716525044,933.235978556032,0.185312883970061,-5.30456619229273,129,1452.07934131595,0.886308126920794,49.992491787893,0.216125760649087,606921344,0.930065016184343,724.69795962954,0.185439012729705,-5.97079584146292,26,4373.3388839983,0.951884776404929,12807.5544270258,0.087975912975913,640022016,0.71353354212422,1946.74206120587,0.185393566166568,-11.9158797736813,0,115n.JPEG
170,16.2374010828821,0.96875,447.75,0.0816326530612245,1439314.25,0.934593440510701,762.552269887547,1.06901416684653,-5.20398196709007,172,25.5785108024691,0.922535211267606,147.5,0.166666666666667,3602058.25,0.975140011462514,335.996913580247,0.195670130673413,-4.18217856410061,175,31.3452026643991,0.952095808383234,317.176470588235,0.101190476190476,8809723,0.948532393070759,304.740929705215,0.180997107614227,-4.79207788041705,181,45.1929287190083,0.949886104783599,640.933333333333,0.102272727272727,22995580,0.974287163671638,282.098161157025,0.186898427201123,-5.33431540102077,184,58.753112244898,0.934763181411975,150.068027210884,0.13125,60094596,0.964479243810429,280.380455994898,0.184760752574069,-5.8454070914049,185,73.5928136509781,0.929920989350739,145.29648241206,0.136675824175824,159121392,0.963917567952072,313.741358229682,0.185624498970325,-5.86709760977943,178,516.033932963103,0.895800876244134,84.5030674846626,0.194047619047619,393949376,0.946140514820255,1226.76586538731,0.185312883970061,-5.92138592860998,162,1260.80457823062,0.887653825101673,60.4529732290926,0.214046653144016,886525952,0.946764401898083,1324.9622903612,0.185439012729705,-6.07290272942367,48,5234.93634713604,0.938786590417466,23607.3491559418,0.116219891219891,898464000,0.700838307103405,7348.52892670504,0.185393566166568,-11.4327546917168,0,118n.JPEG
197,52.8204914618909,0.816666666666667,14.2777777777778,0.36734693877551,1892589.375,0.989049993256142,2345.62598917118,1.06901416684653,-2.54198814194769,200,35.7654320987654,0.866197183098592,24.7,0.277777777777778,4783366.5,0.973735376395959,2789.1450617284,0.195670130673413,-1.80811130520746,202,177.164399092971,0.813173652694611,12.7868852459016,0.363095238095238,11781044,0.953201720845174,2361.95181405896,0.180997107614227,-3.49243099230958,198,300.5775,0.844159112884826,21.8897637795276,0.288636363636364,29442282,0.942195645416699,6959.20196280992,0.186898427201123,-4.27337936299053,196,915.568163265306,0.82574914948673,20.5849582172702,0.320535714285714,68869936,0.929831146904282,4417.71070153061,0.184760752574069,-4.8141408994838,202.5,519.963155373559,0.868517635430158,43.980528511822,0.246909340659341,189238304,0.949627297512684,2430.97008211569,0.185624498970325,-5.25092466648497,206,1452.21059459072,0.855171706517027,40.6447174447174,0.269179894179894,484321792,0.914803455624351,1878.72003023432,0.185312883970061,-5.65964559624724,162,4402.01343000794,0.824492440737647,27.9004640742519,0.316886409736308,888083904,0.906533765968364,2551.89807339261,0.185439012729705,-5.44509416882341,0,5938.79978632139,0.950602808517678,27582.6690971478,0.0905788655788656,698978304,0.466483064426811,14060.8030231171,0.185393566166568,-13.8128953307943,0,11nn.png
150,20.4689712619742,0.9375,105.857142857143,0.142857142857143,1102799.75,0.752882771326329,773.281132861308,1.06901416684653,-4.84793451010959,150,28.5322145061728,0.908450704225352,76.8571428571429,0.194444444444444,2724900.25,0.949303606035905,696.108024691358,0.195670130673413,-3.33981955686801,152,51.6008715986395,0.836526946107784,22.1538461538462,0.30952380952381,6592507.5,0.934063027925797,637.954081632653,0.180997107614227,-3.60956915531001,154,215.903223140496,0.819362186788155,15.0791366906475,0.315909090909091,17030908,0.867471729292315,604.680805785124,0.186898427201123,-4.22225047392587,161,488.170847417092,0.812612853048116,16.5474860335196,0.319642857142857,46272264,0.898645215773275,2429.08785395408,0.184760752574069,-4.33400918588104,153,1962.65938924571,0.797466681751444,19.8802889576883,0.332760989010989,99771712,0.842336789608377,2012.08878711433,0.185624498970325,-4.9913024790114,133,2605.81043698035,0.856083787936866,35.9891833423472,0.24457671957672,208159600,0.85784813156298,1343.8070143613,0.185312883970061,-5.70012361457305,90,4984.80833998237,0.876169237547914,61.8637842863784,0.21815415821501,377669792,0.781132344399735,1418.74611354089,0.185439012729705,-7.37121220860295,8,8842.36858570765,0.950856401049671,11050.811295972,0.0887334887334887,623356352,0.649785632232207,10318.6062447906,0.185393566166568,-11.89514977738,0,12.png
